Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@3,lr
0,0.053,0.007,3.6702699661254883,10.377400398254395,27.648799896240234,0.01
1,0.052,0.009,2.939110040664673,12.84469985961914,33.96229934692383,0.01
2,0.049,0.006,2.777590036392212,14.804100036621094,36.356998443603516,0.01
3,0.047,0.006,2.6528100967407227,15.384599685668945,39.912899017333984,0.01
4,0.049,0.007,2.3916800022125244,20.246700286865234,45.936100006103516,0.01
5,0.049,0.007,2.29613995552063,22.206100463867188,49.12919998168945,0.01
6,0.048,0.006,2.2387399673461914,23.294599533081055,53.410701751708984,0.01
7,0.047,0.005,2.1836400032043457,26.705400466918945,55.587799072265625,0.01
8,0.048,0.006,2.138550043106079,28.30190086364746,58.63570022583008,0.01
9,0.049,0.007,1.9273500442504883,36.8650016784668,64.87660217285156,0.001
10,0.048,0.006,1.7862999439239502,38.46149826049805,70.24669647216797,0.001
11,0.048,0.005,1.7762399911880493,41.07400131225586,68.79540252685547,0.001
12,0.048,0.006,1.7130000591278076,43.686500549316406,71.6980972290039,0.001
13,0.048,0.005,1.698699951171875,42.597999572753906,71.84329986572266,0.001
14,0.048,0.006,1.628890037536621,47.097198486328125,73.36720275878906,0.0001
